"","fromNode","toNode","weight","direction","fromAltName","toAltName"
"53","ENSG00000136444.9","ENSG00000152582.13",0.0610543686526976,"undirected","RSAD1","SPEF2"
"54","ENSG00000136444.9","ENSG00000167065.13",0.0424873514651361,"undirected","RSAD1","DUSP18"
"55","ENSG00000136444.9","ENSG00000169683.7",0.0329482088657137,"undirected","RSAD1","LRRC45"
"56","ENSG00000136444.9","ENSG00000171084.15",0.077728265078286,"undirected","RSAD1","FAM86JP"
"57","ENSG00000136444.9","ENSG00000176125.4",0.0261203394737334,"undirected","RSAD1","UFSP1"
"58","ENSG00000136444.9","ENSG00000177873.12",0.0442328776565625,"undirected","RSAD1","ZNF619"
"59","ENSG00000136444.9","ENSG00000186352.8",0.0357730015867536,"undirected","RSAD1","ANKRD37"
"60","ENSG00000136444.9","ENSG00000196372.12",0.0476794209217721,"undirected","RSAD1","ASB13"
"61","ENSG00000136444.9","ENSG00000204344.14",0.0276770547649153,"undirected","RSAD1","STK19"
"62","ENSG00000136444.9","ENSG00000224722.3",0.0270952589385879,"undirected","RSAD1","AC020688"
"63","ENSG00000136444.9","ENSG00000225138.7",0.0216528761046854,"undirected","RSAD1","SLC9A3-AS1"
"64","ENSG00000136444.9","ENSG00000230337.1",0.0395618853016947,"undirected","RSAD1","AL109811"
"65","ENSG00000136444.9","ENSG00000236144.6",0.0406302374847511,"undirected","RSAD1","TMEM147-AS1"
"66","ENSG00000136444.9","ENSG00000247796.2",0.0519769016421088,"undirected","RSAD1","AC008966"
"67","ENSG00000136444.9","ENSG00000249592.5",0.0469631237469283,"undirected","RSAD1","AC139887"
"68","ENSG00000136444.9","ENSG00000251666.1",0.0277985303400587,"undirected","RSAD1","ZNF346-IT1"
"69","ENSG00000136444.9","ENSG00000259802.1",0.0352486899095292,"undirected","RSAD1","AC012640"
"70","ENSG00000136444.9","ENSG00000260267.1",0.0450850545562052,"undirected","RSAD1","AC026471"
"71","ENSG00000136444.9","ENSG00000262265.1",0.0467392368854666,"undirected","RSAD1","AC002558"
"72","ENSG00000136444.9","ENSG00000269609.5",0.0615933784919728,"undirected","RSAD1","RPARP-AS1"
"73","ENSG00000136444.9","ENSG00000272009.1",0.0257387050845975,"undirected","RSAD1","AL121944"
"74","ENSG00000136444.9","ENSG00000272599.2",0.0320475369143327,"undirected","RSAD1","AC016394"
"75","ENSG00000136444.9","ENSG00000272711.1",0.025109226249943,"undirected","RSAD1","AC019069"
"76","ENSG00000136444.9","ENSG00000275183.1",0.0284451891035859,"undirected","RSAD1","LENG9"
