"","p_value","mean_difference"
"ME5",0.00547782667026445,-0.0153286798468787
"ME6",0.539518981285839,0.00390828896568312
"ME2",0.674510072460279,-0.00178911298709507
"ME9",0.0735617353862878,-0.0202259972664994
"ME1",0.48578341080698,0.00421441812645605
"ME3",0.137331859992619,-0.00805806773041013
"ME8",0.0401297694517148,0.0740261542806015
"ME4",0.0451915547082811,0.014499488321482
"ME7",0.0120127216332469,0.0203306533934356
"ME0",5.65591431907758e-05,-0.43186289449223
