"","p_value","mean_difference"
"ME5",0.254651565801154,-0.00649933286030407
"ME6",0.0886945853542206,0.0185376676658439
"ME2",0.838515858057056,0.00305866625232459
"ME9",0.0114063449646596,-0.0308218657494459
"ME1",0.836135569447294,0.00242591601695454
"ME3",0.807643012758151,-0.00207067886827526
"ME8",0.000103635239625971,0.42249619297039
"ME4",0.0971005910093968,0.0106150071713498
"ME7",0.00524410642481264,0.0211438973161181
"ME0",0.0437776601087971,-0.0987511702903585
