,fromNode,toNode,weight,direction,fromAltName,toAltName
62,ENSG00000068976.13,ENSG00000186567.12,0.170336791,undirected,PYGM,CEACAM19
63,ENSG00000068976.13,ENSG00000186666.5,0.054871119,undirected,PYGM,BCDIN3D
64,ENSG00000068976.13,ENSG00000187951.11,0.112655868,undirected,PYGM,ARHGAP11B
65,ENSG00000068976.13,ENSG00000188177.13,0.141655123,undirected,PYGM,ZC3H6
66,ENSG00000068976.13,ENSG00000188283.11,0.057475824,undirected,PYGM,ZNF383
67,ENSG00000068976.13,ENSG00000188573.7,0.10610555,undirected,PYGM,FBLL1
68,ENSG00000068976.13,ENSG00000188818.12,0.104886531,undirected,PYGM,ZDHHC11
69,ENSG00000068976.13,ENSG00000196378.11,0.082062368,undirected,PYGM,ZNF34
70,ENSG00000068976.13,ENSG00000196503.4,0.179245727,undirected,PYGM,ARL9
71,ENSG00000068976.13,ENSG00000196646.11,0.032466965,undirected,PYGM,ZNF136
72,ENSG00000068976.13,ENSG00000197140.14,0.197130519,undirected,PYGM,ADAM32
73,ENSG00000068976.13,ENSG00000197714.8,0.097157384,undirected,PYGM,ZNF460
74,ENSG00000068976.13,ENSG00000198590.11,0.195161508,undirected,PYGM,C3orf35
75,ENSG00000068976.13,ENSG00000198951.11,0.040136498,undirected,PYGM,NAGA
76,ENSG00000068976.13,ENSG00000199200.2,0.139010633,undirected,PYGM,RF00019
77,ENSG00000068976.13,ENSG00000200887.1,0.228404771,undirected,PYGM,RNU6-598P
78,ENSG00000068976.13,ENSG00000204524.6,0.058837499,undirected,PYGM,ZNF805
79,ENSG00000068976.13,ENSG00000204947.8,0.152185496,undirected,PYGM,ZNF425
80,ENSG00000068976.13,ENSG00000205085.11,0.094032184,undirected,PYGM,FAM71F2
81,ENSG00000068976.13,ENSG00000205090.8,0.113214746,undirected,PYGM,TMEM240
82,ENSG00000068976.13,ENSG00000211491.2,0.060726363,undirected,PYGM,MIR320D1
83,ENSG00000068976.13,ENSG00000212385.1,0.113084406,undirected,PYGM,RNU6-817P
84,ENSG00000068976.13,ENSG00000213139.7,0.091272988,undirected,PYGM,CRYGS
85,ENSG00000068976.13,ENSG00000214212.8,0.158196123,undirected,PYGM,C19orf38
86,ENSG00000068976.13,ENSG00000214465.3,0.155437936,undirected,PYGM,SMARCE1P6
87,ENSG00000068976.13,ENSG00000218996.1,0.132325022,undirected,PYGM,ARL4AP5
88,ENSG00000068976.13,ENSG00000219553.2,0.173439462,undirected,PYGM,AL031133
89,ENSG00000068976.13,ENSG00000224420.3,0.111936813,undirected,PYGM,ADM5
90,ENSG00000068976.13,ENSG00000224635.1,0.14762982,undirected,PYGM,AL391095
91,ENSG00000068976.13,ENSG00000224660.1,0.074473238,undirected,PYGM,SH3BP5-AS1
