,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000000003.14,189,177,84,88,74,515,979,824,824,757,754,337,380,171,114,91,1442,64,1191,132,108,160,132,249
ENSG00000000419.12,233,304,87,102,105,708,215,152,301,195,149,263,297,81,91,74,980,75,915,67,47,122,51,190
ENSG00000000457.13,36,40,26,36,25,211,53,24,46,39,46,42,89,46,33,32,513,42,258,21,37,98,37,121
ENSG00000000460.16,53,51,16,18,16,93,62,67,44,23,26,22,97,43,38,12,251,18,309,25,27,41,18,40
ENSG00000000971.15,0,0,0,0,0,0,0,0,0,0,0,0,55,27,19,15,243,4,15,1,2,0,1,5
ENSG00000001036.13,257,231,74,93,73,826,545,375,500,425,397,414,294,120,88,84,1378,78,3058,297,282,614,310,816
ENSG00000001084.11,345,323,84,123,123,2654,473,369,415,444,250,1158,672,343,164,285,2783,286,1532,144,84,272,78,410
ENSG00000001167.14,44,48,12,11,21,124,118,117,47,43,60,109,72,27,9,8,237,26,416,54,24,50,23,80
ENSG00000001460.17,31,37,10,8,12,150,33,11,7,10,13,23,45,20,18,7,236,13,87,11,2,10,2,20
ENSG00000001461.16,39,55,28,49,15,218,65,49,42,52,32,39,239,115,100,105,1309,89,241,20,30,48,18,76
ENSG00000001497.16,201,183,68,67,86,514,115,109,129,69,89,111,394,135,112,73,1370,161,885,91,54,71,65,204
ENSG00000001561.6,75,79,10,11,15,169,2,1,0,0,0,2,54,28,7,16,164,27,308,40,21,37,22,97
ENSG00000001617.11,18,24,1,12,11,111,89,62,83,97,83,79,33,12,9,8,92,10,40,4,11,8,3,5
ENSG00000001626.14,0,0,1,0,0,0,0,0,0,0,0,0,89,63,33,64,293,3,14,0,2,0,0,7
ENSG00000001629.9,202,188,63,54,57,380,299,182,208,173,183,268,574,291,181,149,2391,157,1712,162,120,265,124,391
ENSG00000001630.15,22,21,15,33,7,70,56,36,99,131,18,26,38,16,28,41,230,10,135,20,14,70,13,42
ENSG00000001631.15,125,135,51,43,39,263,181,125,170,170,152,106,180,96,82,51,896,65,832,68,105,159,65,191
ENSG00000002016.17,51,40,18,8,29,200,47,25,46,26,43,31,14,10,1,5,86,6,128,12,5,14,14,41
ENSG00000002079.14,4,4,4,14,2,24,8,2,11,7,12,38,0,0,0,1,6,0,2,0,0,10,0,2
ENSG00000002330.13,158,167,73,64,41,250,65,72,76,69,51,61,205,97,58,52,603,34,1383,129,114,260,134,354
ENSG00000002549.12,426,343,102,80,108,919,345,216,275,318,222,209,282,158,99,52,1496,48,1039,93,103,178,106,237
ENSG00000002587.9,540,488,85,105,194,1709,0,0,1,0,0,0,339,170,93,53,2464,104,2,0,0,0,0,2
ENSG00000002726.20,0,0,0,0,0,0,0,0,0,0,0,1,16,5,5,3,53,0,0,0,0,0,0,0
ENSG00000002745.12,199,184,37,17,40,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000002746.14,19,15,0,4,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822.15,119,102,25,24,43,394,128,118,122,104,86,116,124,59,15,24,399,41,414,22,26,67,21,98
ENSG00000002834.17,1104,1224,714,739,523,3269,2520,2603,3367,2315,1919,1712,4365,1557,2168,2638,14087,1311,10465,1097,984,1828,688,1782
ENSG00000002919.14,132,130,67,45,50,456,123,95,131,119,74,261,237,140,84,43,800,102,842,64,41,102,78,231
ENSG00000002933.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000003056.7,510,508,204,196,238,1440,657,542,727,592,444,558,734,216,255,310,2747,226,3926,392,353,908,346,988
ENSG00000003096.14,10,17,2,3,2,16,1,3,5,3,1,0,1,0,0,0,0,0,66,5,11,7,10,3
ENSG00000003137.8,18,23,19,10,3,41,0,0,1,1,11,10,0,1,0,1,1,0,18,3,6,11,1,7
ENSG00000003147.17,24,20,8,8,7,179,3,0,0,0,1,1,236,98,58,101,1113,61,270,22,12,20,16,96
ENSG00000003249.13,224,222,108,136,64,617,462,320,295,288,382,298,59,32,31,22,287,4,473,37,36,67,45,24
ENSG00000003393.14,96,69,35,35,28,292,113,94,152,139,77,121,65,35,27,31,279,33,516,42,22,73,40,123
ENSG00000003400.14,11,3,4,3,1,50,110,71,99,42,136,132,10,4,5,2,88,9,178,17,29,52,22,37
ENSG00000003402.19,350,350,119,208,150,903,1243,892,1125,866,1304,1734,718,336,319,217,2721,295,4238,367,396,933,407,1064
ENSG00000003436.15,68,91,36,72,40,282,1678,1464,1728,1589,1230,1093,759,355,344,311,3635,255,5664,548,514,1090,539,846
ENSG00000003509.15,53,30,17,17,23,83,157,115,103,98,55,95,109,62,32,22,486,40,367,37,24,72,26,58
ENSG00000003756.16,283,346,107,126,88,799,265,188,206,206,253,382,111,50,43,43,830,51,593,58,21,90,60,132
ENSG00000003987.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000003989.17,56,37,11,2,11,15,114,88,163,153,79,128,15,5,4,2,40,1,321,38,39,93,18,73
ENSG00000004059.10,3,5,0,0,1,4,1,0,0,0,0,0,1,0,1,2,10,0,6,1,1,2,0,1
ENSG00000004139.13,0,0,0,0,1,6,7,6,6,9,17,6,65,59,10,17,260,16,2284,184,109,178,124,450
ENSG00000004142.11,436,380,129,103,129,1137,505,436,452,324,424,261,682,365,249,139,2454,146,3017,244,188,333,250,683
ENSG00000004399.12,27,28,16,12,10,82,218,176,166,168,110,82,34,14,5,6,130,3,282,26,20,50,18,44
ENSG00000004455.16,926,848,315,282,331,2514,1059,880,869,603,710,508,2517,1301,667,339,7584,487,3365,252,227,320,225,575
ENSG00000004468.12,0,0,0,0,1,0,1,0,0,0,0,0,2,3,0,1,2,0,5,2,1,0,1,0
ENSG00000004478.7,2027,1836,626,408,583,3551,515,399,426,279,371,451,1918,992,513,191,6749,449,3622,281,325,616,233,684
ENSG00000004487.16,242,285,69,46,86,354,150,125,157,103,107,90,203,58,72,80,795,49,478,45,23,16,24,80
ENSG00000004534.14,470,426,88,107,150,1399,320,229,288,260,282,426,232,105,64,48,1068,117,1036,76,80,190,73,291
ENSG00000004660.14,14,12,6,0,10,37,4,6,0,3,1,0,19,11,5,4,62,13,36,2,0,1,0,3
ENSG00000004700.15,130,108,52,49,49,323,190,141,167,103,126,122,185,120,55,51,1105,53,1678,130,176,472,148,301
ENSG00000004766.15,57,48,20,24,24,90,52,57,69,56,66,87,108,48,33,29,470,39,338,32,34,53,14,110
ENSG00000004776.12,0,0,0,0,1,16,2,4,0,0,12,1,1,0,2,0,18,0,2,0,0,1,5,3
ENSG00000004777.18,17,11,3,0,9,67,8,12,3,3,12,5,23,8,4,2,76,6,88,5,7,1,6,4
ENSG00000004779.9,2099,2106,975,734,840,4632,2849,2724,2698,1746,2067,1659,3021,1255,971,646,8981,598,5362,528,364,708,346,1003
ENSG00000004799.7,9,4,4,10,2,33,3,2,3,4,1,2,26,19,86,122,133,15,5317,477,483,750,756,1267
ENSG00000004838.13,0,1,0,3,0,9,0,1,4,5,7,15,0,2,0,0,8,0,19,2,1,5,1,3
ENSG00000004846.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENSG00000004848.7,8,11,1,3,0,11,0,0,0,0,1,2,0,0,3,3,0,0,20,1,0,5,0,6
ENSG00000004864.13,161,138,43,41,50,524,600,455,550,466,395,501,547,335,253,191,2209,145,3322,332,250,414,260,687
ENSG00000004866.20,39,46,34,35,14,217,79,79,142,85,42,100,215,70,98,88,593,77,531,57,49,166,34,117
ENSG00000004897.11,1392,1307,446,391,380,3569,1079,894,856,671,867,1182,518,267,157,75,2055,171,4200,316,228,424,292,778
ENSG00000004939.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
ENSG00000004948.13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0
ENSG00000004961.14,236,241,125,113,118,605,210,225,262,127,166,282,215,69,92,59,624,85,2802,327,141,284,169,658
ENSG00000004975.11,192,192,57,52,76,501,244,189,259,220,128,84,120,79,51,49,306,36,546,43,23,35,34,126
ENSG00000005001.9,11,14,12,22,5,103,2,5,3,3,5,5,273,120,196,254,1417,111,5,0,0,4,0,0
ENSG00000005007.12,971,896,474,382,343,3386,831,616,788,730,752,1250,791,420,355,188,4037,338,3339,289,282,772,340,1193
ENSG00000005020.12,148,157,48,95,46,451,383,292,384,438,306,254,470,250,197,166,2585,99,4808,450,396,651,411,689
ENSG00000005022.5,933,975,262,356,417,2320,907,724,1036,551,759,568,2358,559,744,548,5883,644,4993,490,225,401,314,789
ENSG00000005059.15,290,261,103,76,93,758,26,13,7,15,17,21,41,10,10,9,201,15,1845,138,157,231,167,322
ENSG00000005073.5,218,183,68,61,64,474,0,1,0,2,1,4,780,381,339,176,2277,121,22,1,1,2,3,1
ENSG00000005075.15,1851,1601,705,513,600,5155,1192,941,786,701,987,684,2521,1569,801,527,9592,404,7156,627,557,1372,621,1609
ENSG00000005100.12,548,588,157,148,188,1452,618,412,478,334,390,557,502,223,167,89,2684,204,1199,111,55,182,134,377
ENSG00000005108.15,2,1,0,2,0,15,0,0,0,0,0,6,0,0,2,2,0,1,0,0,1,0,0,0
ENSG00000005156.11,367,297,89,47,87,676,288,212,231,163,138,135,572,284,155,109,2259,91,804,82,33,73,47,129
ENSG00000005175.9,904,799,247,228,265,1750,463,345,473,359,227,450,723,352,277,165,2421,220,2706,256,200,341,138,589
ENSG00000005187.11,3,8,4,4,18,11,2080,1544,1592,1996,1519,189,86,41,35,22,420,12,2,1,1,1,0,7
ENSG00000005189.19,13,13,7,11,13,62,35,41,29,16,75,11,26,21,5,8,129,16,63,12,6,7,4,26
ENSG00000005194.14,554,487,205,130,176,1327,553,386,346,240,397,466,533,257,135,74,2009,153,1997,144,140,224,147,511
ENSG00000005206.16,63,64,14,10,29,371,152,120,92,96,153,92,187,121,41,28,1341,57,624,36,52,46,46,217
ENSG00000005238.19,14,10,6,10,5,61,21,9,31,12,17,8,27,6,11,19,43,10,287,27,55,77,17,42
ENSG00000005243.9,0,0,0,0,0,0,2,0,1,2,0,0,1,1,1,2,6,1,0,0,2,0,2,3
ENSG00000005249.12,162,140,38,20,40,177,3,0,0,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0
ENSG00000005302.17,133,128,59,52,53,382,161,120,163,120,109,203,217,132,74,51,909,86,1931,173,196,411,160,574
ENSG00000005339.14,817,744,313,283,205,2137,571,379,768,636,469,1228,604,299,367,289,3576,389,1280,162,255,506,117,460
ENSG00000005379.15,0,1,0,0,1,0,0,0,1,0,17,2,2,1,1,0,84,23,0,0,0,0,2,1
ENSG00000005381.7,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,87,21,0,0,1,0,0,0
ENSG00000005421.8,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,1,1,18,4,0,8,14,11
ENSG00000005436.13,91,113,13,18,33,296,171,123,85,68,127,185,70,27,19,12,363,40,665,50,24,54,58,121
ENSG00000005448.16,175,172,64,48,46,468,24,21,15,31,23,5,357,245,98,60,1454,51,841,55,44,78,48,109
ENSG00000005469.11,0,0,0,0,2,0,100,55,95,81,35,43,21,17,11,2,98,8,339,44,26,49,16,76
ENSG00000005471.16,0,0,0,0,0,7,190,106,132,121,104,57,0,1,0,1,0,0,1,0,0,0,0,0
ENSG00000005483.20,784,744,220,251,257,2564,1027,762,900,774,1072,1277,1355,811,466,384,7933,716,4796,465,295,676,481,1208
ENSG00000005486.16,133,105,70,47,37,259,170,148,162,174,124,118,195,113,84,75,626,75,1032,71,83,219,79,227
ENSG00000005513.9,28,31,15,9,3,67,2,1,6,2,3,9,3,3,2,1,6,1,18,1,6,12,0,4
ENSG00000005700.14,422,425,148,133,207,2005,822,613,640,585,745,1182,508,256,177,232,2897,210,8071,699,443,945,655,1907
ENSG00000005801.16,223,165,66,57,86,530,211,153,176,137,252,298,276,145,124,57,1870,180,579,59,16,39,66,177
ENSG00000005810.17,602,572,170,185,139,1289,535,363,454,381,278,813,840,408,295,202,2817,322,1772,197,163,340,161,463
ENSG00000005812.10,72,79,43,35,22,228,54,47,54,42,67,174,107,52,51,55,708,74,350,35,85,156,48,151
ENSG00000005844.17,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,49,8,3,12,2,9
ENSG00000005882.11,86,96,25,17,22,262,142,106,77,79,91,45,63,40,17,25,273,18,515,54,25,30,31,65
ENSG00000005884.17,586,520,190,254,160,3661,28,21,14,7,26,30,906,509,201,176,3934,165,196,13,10,23,28,44
ENSG00000005889.15,165,169,60,48,60,443,145,98,110,134,192,144,244,144,71,60,1916,134,1650,179,134,187,250,345
ENSG00000005893.15,237,196,86,104,82,529,625,525,658,687,521,357,352,149,133,185,1345,68,3155,316,248,569,253,608
ENSG00000005961.17,0,2,1,0,2,2,0,2,0,2,8,17,0,0,2,0,18,6,8,0,0,4,4,8
ENSG00000005981.12,0,0,0,0,0,0,25,23,29,8,15,18,0,0,0,0,0,0,13,2,2,8,1,0
ENSG00000006007.11,475,463,222,256,128,1146,905,813,1103,822,727,932,1778,1014,863,611,6365,326,2986,276,270,530,250,770
ENSG00000006015.17,538,451,97,84,138,1380,132,143,90,106,101,28,276,167,64,59,1225,39,2395,195,136,124,241,388
ENSG00000006016.10,91,80,50,41,44,196,3825,3656,3506,2516,3553,2346,2,1,1,6,38,2,18,1,0,6,0,8
ENSG00000006025.11,18,25,4,14,11,60,16,10,9,9,11,2,33,25,4,7,123,7,5,1,0,1,1,4
ENSG00000006042.11,183,154,66,80,72,308,1064,907,977,677,768,240,0,0,0,0,7,1,2268,223,136,229,121,459
ENSG00000006047.12,2,1,0,1,0,3,0,0,1,0,3,0,8,8,8,7,46,5,370,30,43,91,30,84
ENSG00000006062.14,80,69,23,24,40,293,25,24,15,14,21,62,75,31,9,12,261,29,439,38,31,58,42,89
ENSG00000006071.13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,14,2,8,0,0,0,0,0
ENSG00000006118.14,77,80,12,23,24,254,108,66,44,64,82,33,74,33,17,17,218,8,493,40,41,62,50,107
ENSG00000006125.17,2170,2030,1080,1058,769,7840,1949,1670,1751,1386,1448,1394,5753,3141,1877,1170,19215,1225,8302,815,665,1227,607,1992
ENSG00000006128.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000006194.9,204,166,58,58,72,706,156,111,171,110,99,215,245,141,122,97,950,94,609,56,61,195,69,242
ENSG00000006210.6,0,0,0,0,24,2,956,778,1268,1212,445,133,11,5,4,41,36,2,142,17,40,147,15,20
ENSG00000006282.20,32,41,8,14,26,182,503,380,340,295,436,159,62,37,16,15,370,17,279,22,23,26,25,61
ENSG00000006283.17,3,2,1,4,0,3,0,0,0,0,0,1,0,0,0,1,3,1,15,2,3,2,0,0
ENSG00000006327.13,629,661,384,318,282,2317,464,375,227,313,342,631,1121,339,342,224,3781,484,2215,273,173,356,297,627
ENSG00000006377.10,0,0,0,0,6,0,109,73,153,136,45,76,0,0,0,0,1,0,0,0,0,6,0,0
ENSG00000006432.15,52,42,15,12,12,136,54,44,43,37,28,60,67,43,15,27,226,25,223,18,10,40,22,62
ENSG00000006451.7,797,728,342,323,279,2362,665,538,764,568,710,951,1641,820,869,701,7568,716,4206,393,604,1379,406,1326
ENSG00000006453.13,370,337,189,157,128,1108,392,348,408,295,371,616,868,409,272,228,3430,382,4061,348,221,368,280,885
ENSG00000006459.10,22,33,13,15,15,235,146,116,191,184,192,328,21,10,16,33,170,47,78,5,18,53,11,42
ENSG00000006468.13,31,54,15,21,16,61,0,0,1,0,0,0,20,10,11,9,102,1,89,12,11,16,1,14
ENSG00000006530.15,90,88,24,20,17,258,72,62,42,23,42,66,103,43,38,15,284,27,272,20,5,9,12,51
ENSG00000006534.15,43,49,7,6,24,299,88,65,44,42,53,9,599,392,140,151,2991,92,151,10,8,3,38,63
ENSG00000006555.10,3,6,0,1,0,20,0,0,0,1,1,0,121,72,29,29,384,23,3,0,0,0,1,0
ENSG00000006576.16,260,246,107,63,73,631,110,85,102,46,178,139,229,116,77,52,899,101,1452,119,79,133,105,235
ENSG00000006606.8,16,14,2,1,2,43,2,1,1,0,0,5,0,0,0,0,0,0,33,6,5,8,7,9
ENSG00000006607.13,139,133,48,39,42,369,136,117,134,112,58,191,252,126,79,78,787,60,488,53,26,87,27,139
ENSG00000006611.15,25,35,14,18,8,33,0,0,0,1,0,2,371,171,102,161,1200,45,254,24,9,37,22,43
ENSG00000006625.17,286,253,107,137,131,941,323,340,336,173,311,198,1334,607,603,422,5202,389,1903,222,92,181,136,472
ENSG00000006634.7,1328,1130,220,162,334,2052,433,290,196,137,296,289,1143,555,229,97,5653,271,1685,150,48,104,149,358
ENSG00000006638.11,40,38,10,8,14,68,2,0,0,0,0,0,0,0,0,0,0,0,20,3,1,5,0,1
ENSG00000006652.13,139,170,121,107,90,697,161,126,292,201,154,394,297,114,168,138,869,147,1046,94,130,383,79,486
ENSG00000006695.10,176,149,61,64,54,493,124,98,132,86,83,202,122,52,46,35,449,38,526,46,31,70,35,197
ENSG00000006704.10,45,73,21,32,37,197,145,120,181,113,130,191,127,64,71,84,592,59,235,25,14,27,6,44
ENSG00000006712.14,457,463,97,88,141,1214,259,166,246,172,135,167,491,257,177,139,1922,137,1857,165,193,400,134,426
ENSG00000006715.15,289,246,86,102,70,880,210,184,223,195,134,151,281,148,88,86,1073,57,1444,111,165,311,108,320
ENSG00000006740.16,36,23,9,19,9,107,35,23,20,19,8,20,4,3,0,0,10,0,70,4,5,6,3,16
ENSG00000006744.18,914,836,328,189,320,2307,536,443,418,294,318,525,615,345,200,92,1949,92,2528,161,161,307,209,522
ENSG00000006747.14,0,0,0,2,0,0,5,0,1,0,2,2,5,2,4,5,33,1,3,1,5,5,1,2
ENSG00000006756.15,28,22,6,17,12,169,180,160,123,110,148,89,254,137,88,113,1148,58,868,75,54,83,94,353
ENSG00000006757.11,58,40,25,16,17,233,84,74,78,58,61,66,33,11,7,1,122,22,396,50,19,43,41,143
ENSG00000006831.9,871,753,486,416,299,2260,1126,936,1252,1089,782,1296,1127,530,491,534,4620,504,3498,300,515,1207,244,926
ENSG00000006837.11,5,6,5,0,2,19,3,7,10,7,12,1,5,0,2,0,20,4,16,3,12,27,2,8
ENSG00000007038.10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007047.14,206,171,126,117,67,822,306,238,312,381,172,192,258,148,88,119,857,81,3064,230,277,462,228,791
ENSG00000007062.11,68,57,13,9,20,133,94,77,85,66,82,28,158,64,68,83,529,29,701,60,49,132,51,96
ENSG00000007080.10,683,548,232,151,238,2036,187,108,125,87,151,154,365,255,131,50,2312,82,1439,115,121,174,123,396
ENSG00000007168.12,499,460,288,217,144,1321,366,294,556,295,375,601,593,270,182,167,2576,272,2082,171,151,270,152,616
ENSG00000007171.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000007202.14,302,291,99,83,106,849,314,224,239,218,177,239,667,241,201,164,2741,134,1565,161,61,125,110,328
ENSG00000007216.14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
ENSG00000007237.18,8,10,5,10,3,37,4,9,1,4,3,3,4,1,1,0,28,3,28,0,2,5,0,8
ENSG00000007255.10,19,27,10,12,14,226,73,50,54,150,94,41,259,166,103,98,1927,70,680,46,66,218,62,261
ENSG00000007264.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,1,6,1,0
ENSG00000007306.14,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,13,0,0,0,0,0,0,0
ENSG00000007312.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,6
ENSG00000007314.12,0,1,0,0,0,0,0,1,1,0,2,2,0,0,0,0,2,1,0,0,1,0,4,13
ENSG00000007341.18,50,35,23,18,15,187,76,47,59,38,114,104,44,27,19,13,388,52,143,15,29,42,29,48
ENSG00000007350.16,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000007372.22,27,12,3,2,10,69,25,21,20,34,19,79,0,0,0,0,1,0,18,0,2,19,0,1
ENSG00000007376.7,1242,958,116,90,272,2004,308,232,185,162,163,217,1065,627,228,98,3380,120,1513,131,54,138,130,334
ENSG00000007384.15,36,41,13,16,7,91,97,51,77,77,48,33,850,488,278,171,2626,120,1194,85,72,146,85,116
ENSG00000007392.16,460,354,171,105,102,1111,590,419,560,451,277,718,376,172,175,63,1459,120,952,84,149,226,55,237
ENSG00000007402.11,13,6,1,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
ENSG00000007516.13,13,10,4,5,1,24,15,6,7,22,9,5,6,4,4,6,63,1,88,9,3,5,11,7
ENSG00000007520.3,908,880,252,204,310,2223,649,529,554,444,470,307,1110,702,413,257,4105,218,2649,261,231,449,206,862
ENSG00000007541.16,20,24,0,3,7,57,95,64,43,48,50,21,159,68,29,39,503,23,223,29,20,26,28,55
ENSG00000007545.15,101,121,70,64,37,464,97,61,89,111,79,129,90,47,60,37,574,37,217,19,33,88,15,88
ENSG00000007866.19,68,64,34,46,22,196,153,101,167,112,105,127,88,37,49,63,362,33,367,35,47,108,26,104
ENSG00000007923.15,733,630,162,165,228,1666,485,332,336,331,288,400,671,373,195,136,3528,204,1879,148,113,358,154,491
ENSG00000007944.14,29,13,9,5,8,85,33,23,15,19,11,54,34,26,18,17,148,26,77,7,24,32,5,4
ENSG00000007952.17,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,34,0,10,0,0,0,0,0
ENSG00000007968.6,141,124,47,35,69,380,108,90,56,51,124,30,104,60,25,13,560,31,805,68,66,71,79,156
ENSG00000008018.8,1672,1643,684,636,735,5595,2130,1937,2624,1513,1985,1637,2351,949,744,471,6707,638,9935,961,436,856,585,1711
ENSG00000008056.13,0,0,0,0,0,6,1,2,1,0,1,0,1,1,0,0,0,2,12,1,0,0,1,0
ENSG00000008083.13,291,305,163,186,82,1282,589,505,817,537,329,621,245,126,113,121,868,115,1204,110,208,324,76,286
ENSG00000008086.11,19,26,9,10,4,61,110,67,101,102,76,65,48,28,49,35,233,16,1113,89,89,154,133,288
ENSG00000008128.22,26,15,2,4,8,20,12,10,16,7,4,6,14,2,9,1,56,2,48,3,4,6,4,15
ENSG00000008130.15,113,111,46,22,35,140,123,104,72,55,57,60,107,64,26,17,287,15,767,59,35,96,52,114
ENSG00000008226.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
ENSG00000008256.15,214,153,91,75,55,814,112,84,85,112,52,290,43,14,6,17,73,13,783,53,98,139,58,206
ENSG00000008277.14,21,21,10,9,7,84,42,28,22,32,26,6,45,24,12,8,110,2,129,12,11,16,12,22
ENSG00000008282.8,236,269,88,66,76,594,190,276,190,144,154,271,758,316,186,193,2343,220,2722,340,133,253,176,612
ENSG00000008283.15,938,822,266,248,285,3790,40,31,30,45,28,38,1439,791,477,380,6032,387,3628,320,201,400,290,1110
ENSG00000008294.20,892,809,301,404,264,2462,1040,682,1148,1058,698,1387,514,278,301,307,2345,233,3817,355,532,1228,366,924
ENSG00000008300.16,14,4,5,3,6,68,71,40,63,79,92,89,43,34,2,9,309,60,140,7,16,43,30,100
ENSG00000008311.14,5,9,3,5,2,27,65,69,65,38,44,25,0,1,1,0,0,0,61,10,7,7,8,2
ENSG00000008323.15,14,22,6,6,2,11,21,18,22,25,10,1,46,20,8,12,101,2,1,1,0,1,0,0
ENSG00000008324.11,354,328,113,114,119,568,236,190,229,167,152,139,303,136,83,49,783,78,1171,119,70,163,74,207
ENSG00000008382.15,116,97,44,22,41,140,159,110,95,102,86,54,133,75,28,32,539,5,587,49,54,142,50,77
ENSG00000008394.12,535,579,206,263,236,2263,1223,956,927,784,900,1095,1602,633,508,533,7163,551,2843,295,190,485,258,698
ENSG00000008405.11,68,58,31,36,28,170,90,72,108,44,80,101,118,53,42,29,427,63,468,57,46,106,41,118
ENSG00000008441.16,787,691,191,233,173,2320,577,390,535,689,282,439,802,459,356,381,4313,261,306,20,30,36,22,78
ENSG00000008513.14,129,87,34,32,49,302,268,231,282,254,219,261,2887,1202,719,556,15438,1915,145,21,22,51,14,25
ENSG00000008516.16,4,5,2,3,1,0,0,0,0,0,5,3,0,0,0,1,95,81,2,1,0,3,1,5
ENSG00000008517.16,79,55,29,32,29,178,1792,1234,1264,1318,1549,957,9,5,1,41,52,13,17453,1286,1706,4580,1463,2665
ENSG00000008710.19,124,93,28,32,62,689,152,117,85,139,135,239,109,47,29,46,549,45,567,52,57,155,79,260
ENSG00000008735.13,41,37,12,4,14,58,21,20,15,21,24,23,0,0,0,1,2,0,139,10,10,44,12,59
ENSG00000008838.19,1325,1253,516,437,459,4017,1942,1869,1609,1368,1384,1233,1502,1041,630,393,5028,382,4674,382,431,922,406,1244
ENSG00000008853.16,105,103,27,24,40,176,300,212,133,127,69,43,90,45,26,11,174,5,460,39,16,27,20,70
ENSG00000008869.11,75,62,20,15,24,125,101,86,66,57,79,119,52,20,15,14,190,16,379,32,29,61,40,92
ENSG00000008952.16,1296,1043,453,556,406,2829,1617,1313,2079,1680,1109,1906,1772,671,916,845,7655,680,13900,1455,1794,3908,1150,3255
ENSG00000008988.9,14402,12317,5690,4415,4825,50247,7352,6198,6368,5675,6553,5884,14697,8682,4312,4060,65075,3918,52267,4499,3598,7022,4352,10540
ENSG00000009307.15,6985,5921,2494,2095,2470,17123,4048,3209,3848,3332,3493,3778,6963,3232,2586,2308,32715,2132,15793,1566,1379,2478,1291,3920
ENSG00000009335.17,833,716,302,258,228,2012,401,285,389,347,250,494,1168,680,436,258,5595,320,3503,282,219,505,290,758
ENSG00000009413.15,319,306,174,230,107,1052,910,617,1037,810,900,1190,361,153,215,123,1924,170,1211,101,138,341,124,302
ENSG00000009694.13,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,5,0,1,0,0,3,0,0
ENSG00000009724.16,3,0,0,1,1,3,34,20,27,22,17,4,0,0,1,0,9,0,1,0,0,0,1,4
ENSG00000009765.14,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0
ENSG00000009780.15,92,81,31,31,34,171,112,70,96,102,69,73,67,40,21,31,327,24,184,9,16,30,20,84
ENSG00000009790.14,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000009830.11,305,291,180,124,98,698,561,512,534,608,333,538,248,169,113,70,563,39,2811,252,275,637,216,718
ENSG00000009844.15,423,439,170,155,154,1082,591,536,608,368,351,598,489,252,178,129,1868,174,2198,195,206,393,148,535
ENSG00000009950.15,60,59,27,33,37,330,1140,1025,919,1220,1083,442,2,1,0,1,20,3,169,15,21,65,26,62
