,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000133020.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000133026.12,420,409,131,133,149,628,1504,1091,1366,1207,976,445,152,77,62,39,532,29,2482,220,175,233,151,339
ENSG00000133027.17,193,154,46,42,52,825,204,131,180,141,185,103,108,76,32,28,760,26,899,56,88,248,117,278
ENSG00000133028.10,550,444,130,129,196,1320,479,324,415,299,440,817,419,236,94,65,1982,162,1817,143,139,320,172,591
ENSG00000133030.20,824,797,387,371,249,1667,395,303,360,272,261,255,680,337,228,127,2306,124,960,78,50,106,56,223
ENSG00000133048.12,0,0,0,0,0,0,5,6,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000133055.8,0,0,2,0,1,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000133056.13,8,13,0,2,2,39,19,11,25,13,13,8,87,49,29,14,221,19,119,18,2,11,10,40
ENSG00000133059.16,186,167,68,76,38,724,207,155,185,157,127,338,118,72,31,29,437,67,939,76,51,83,84,353
ENSG00000133063.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
ENSG00000133065.10,187,216,52,50,40,289,24,23,12,24,6,30,88,36,23,26,310,36,252,27,32,46,15,68
ENSG00000133067.17,0,0,0,0,0,0,1,1,2,0,0,0,8,5,2,5,21,1,0,0,0,0,0,0
ENSG00000133069.15,9,9,7,8,1,12,1,6,5,4,1,1,1,0,0,2,0,0,33,3,3,13,0,2
ENSG00000133083.14,10,5,2,6,2,43,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,1
ENSG00000133103.16,24,33,6,10,8,46,32,39,47,27,11,15,21,15,11,22,115,10,121,13,11,49,8,29
ENSG00000133104.12,0,0,0,0,9,0,242,168,222,198,137,158,0,0,0,0,0,0,1125,112,154,368,103,288
ENSG00000133106.14,8,0,0,3,0,9,0,3,10,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0
ENSG00000133107.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1
ENSG00000133110.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
ENSG00000133111.3,38,19,4,8,11,75,66,45,58,72,46,61,47,26,17,5,512,23,99,14,1,4,13,10
ENSG00000133112.16,9053,8758,4203,3986,4246,36559,14698,14476,15513,10925,13616,13394,25177,12197,8001,11070,86008,9965,30367,3002,1817,4742,1943,7538
ENSG00000133114.17,150,144,42,45,56,319,146,90,128,97,89,111,202,114,61,45,951,84,371,30,13,93,29,104
ENSG00000133115.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ENSG00000133116.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000133119.12,783,585,203,137,247,1100,622,388,303,250,347,206,1337,751,433,139,5784,361,2121,169,136,163,159,327
ENSG00000133121.20,30,20,2,12,3,25,87,54,71,78,55,42,0,0,3,1,13,0,136,12,12,28,11,22
ENSG00000133131.14,226,169,80,79,76,771,321,307,265,165,277,211,561,178,135,64,2001,112,790,102,33,103,39,223
ENSG00000133134.11,244,263,103,105,109,3392,2,5,5,3,2,53,2,0,1,0,2,1,307,32,47,368,32,491
ENSG00000133135.13,17,25,6,11,6,22,88,58,57,89,50,112,120,36,36,25,400,25,843,74,55,99,47,98
ENSG00000133136.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
ENSG00000133138.19,55,39,38,24,20,122,93,51,108,70,40,40,50,26,31,32,242,25,398,38,53,125,25,115
ENSG00000133142.17,222,226,67,101,79,778,381,250,467,458,317,185,165,88,98,111,676,38,3056,280,335,829,306,860
ENSG00000133169.5,0,0,0,0,6,2,851,688,860,662,673,280,0,0,0,0,9,0,41,4,2,8,4,15
ENSG00000133193.12,382,317,150,136,95,1105,405,336,284,225,239,273,311,151,85,65,1140,95,948,72,42,114,66,190
ENSG00000133195.11,172,165,59,72,64,546,234,218,300,276,189,33,165,94,51,69,721,44,967,86,65,156,57,210
ENSG00000133216.16,59,54,13,28,20,264,0,1,3,2,2,0,16,12,3,3,79,7,12,0,1,4,1,1
ENSG00000133226.16,10440,8979,3329,2560,2793,21185,4808,3188,3319,2872,1960,2972,6311,3112,2250,1140,19792,1460,14586,1193,1583,1957,838,2956
ENSG00000133243.8,141,131,40,50,55,449,267,237,232,227,184,108,167,61,49,44,649,38,804,75,74,97,55,179
