"","x"
"ENSG00000171345.13",4820.08333333333
"ENSG00000233927.4",4796.41666666667
"ENSG00000169976.6",4763.75
"ENSG00000167460.15",4745.54166666667
"ENSG00000266402.3",4738.875
"ENSG00000065548.17",4732.625
"ENSG00000139644.12",4712.29166666667
"ENSG00000099817.11",4688.75
"ENSG00000197747.8",4671.375
"ENSG00000231500.6",4664.70833333333
"ENSG00000104529.17",4655.79166666667
"ENSG00000140319.10",4645.875
"ENSG00000177469.12",4583.66666666667
"ENSG00000152795.17",4579.04166666667
"ENSG00000149136.8",4577.95833333333
"ENSG00000130255.12",4575.41666666667
"ENSG00000130208.9",4567.95833333333
"ENSG00000125977.6",4563.54166666667
"ENSG00000092820.17",4552.5
"ENSG00000132341.11",4517.5
"ENSG00000092841.18",4502.66666666667
"ENSG00000075624.14",4499.54166666667
"ENSG00000124766.6",4489.95833333333
"ENSG00000120694.19",4473.375
"ENSG00000074695.5",4466.79166666667
"ENSG00000101361.16",4430.16666666667
"ENSG00000011304.19",4426.04166666667
"ENSG00000166710.17",4409.58333333333
"ENSG00000182774.11",4380.08333333333
"ENSG00000164754.14",4360.08333333333
