ENSG00000005108.15,ENSG00000005108,15,ENSG00000005108,THSD7A
ENSG00000005156.11,ENSG00000005156,11,ENSG00000005156,LIG3
ENSG00000005175.9,ENSG00000005175,9,ENSG00000005175,RPAP3
ENSG00000005187.11,ENSG00000005187,11,ENSG00000005187,ACSM3
ENSG00000005189.19,ENSG00000005189,19,ENSG00000005189,REXO5
ENSG00000005194.14,ENSG00000005194,14,ENSG00000005194,CIAPIN1
ENSG00000005206.16,ENSG00000005206,16,ENSG00000005206,SPPL2B
ENSG00000005238.19,ENSG00000005238,19,ENSG00000005238,FAM214B
ENSG00000005243.9,ENSG00000005243,9,ENSG00000005243,COPZ2
ENSG00000005249.12,ENSG00000005249,12,ENSG00000005249,PRKAR2B
ENSG00000005302.17,ENSG00000005302,17,ENSG00000005302,MSL3
ENSG00000005339.14,ENSG00000005339,14,ENSG00000005339,CREBBP
ENSG00000005379.15,ENSG00000005379,15,ENSG00000005379,TSPOAP1
ENSG00000005381.7,ENSG00000005381,7,ENSG00000005381,MPO
ENSG00000005421.8,ENSG00000005421,8,ENSG00000005421,PON1
ENSG00000005436.13,ENSG00000005436,13,ENSG00000005436,GCFC2
ENSG00000005448.16,ENSG00000005448,16,ENSG00000005448,WDR54
ENSG00000005469.11,ENSG00000005469,11,ENSG00000005469,CROT
ENSG00000005471.16,ENSG00000005471,16,ENSG00000005471,ABCB4
ENSG00000005483.20,ENSG00000005483,20,ENSG00000005483,KMT2E
ENSG00000005486.16,ENSG00000005486,16,ENSG00000005486,RHBDD2
ENSG00000005513.9,ENSG00000005513,9,ENSG00000005513,SOX8
ENSG00000005700.14,ENSG00000005700,14,ENSG00000005700,IBTK
ENSG00000005801.16,ENSG00000005801,16,ENSG00000005801,ZNF195
ENSG00000005810.17,ENSG00000005810,17,ENSG00000005810,MYCBP2
ENSG00000005812.10,ENSG00000005812,10,ENSG00000005812,FBXL3
ENSG00000005844.17,ENSG00000005844,17,ENSG00000005844,ITGAL
ENSG00000005882.11,ENSG00000005882,11,ENSG00000005882,PDK2
ENSG00000005884.17,ENSG00000005884,17,ENSG00000005884,ITGA3
ENSG00000005889.15,ENSG00000005889,15,ENSG00000005889,ZFX
ENSG00000005893.15,ENSG00000005893,15,ENSG00000005893,LAMP2
ENSG00000005961.17,ENSG00000005961,17,ENSG00000005961,ITGA2B
ENSG00000005981.12,ENSG00000005981,12,ENSG00000005981,ASB4
ENSG00000006007.11,ENSG00000006007,11,ENSG00000006007,GDE1
ENSG00000006015.17,ENSG00000006015,17,ENSG00000006015,REX1BD
ENSG00000006016.10,ENSG00000006016,10,ENSG00000006016,CRLF1
ENSG00000006025.11,ENSG00000006025,11,ENSG00000006025,OSBPL7
ENSG00000006042.11,ENSG00000006042,11,ENSG00000006042,TMEM98
ENSG00000006047.12,ENSG00000006047,12,ENSG00000006047,YBX2
ENSG00000006062.14,ENSG00000006062,14,ENSG00000006062,MAP3K14
ENSG00000006071.13,ENSG00000006071,13,ENSG00000006071,ABCC8
ENSG00000006118.14,ENSG00000006118,14,ENSG00000006118,TMEM132A
ENSG00000006125.17,ENSG00000006125,17,ENSG00000006125,AP2B1
ENSG00000006128.11,ENSG00000006128,11,ENSG00000006128,TAC1
ENSG00000006194.9,ENSG00000006194,9,ENSG00000006194,ZNF263
ENSG00000006210.6,ENSG00000006210,6,ENSG00000006210,CX3CL1
ENSG00000006282.20,ENSG00000006282,20,ENSG00000006282,SPATA20
ENSG00000006283.17,ENSG00000006283,17,ENSG00000006283,CACNA1G
ENSG00000006327.13,ENSG00000006327,13,ENSG00000006327,TNFRSF12A
ENSG00000006377.10,ENSG00000006377,10,ENSG00000006377,DLX6
ENSG00000006432.15,ENSG00000006432,15,ENSG00000006432,MAP3K9
ENSG00000006451.7,ENSG00000006451,7,ENSG00000006451,RALA
ENSG00000006453.13,ENSG00000006453,13,ENSG00000006453,BAIAP2L1
ENSG00000006459.10,ENSG00000006459,10,ENSG00000006459,KDM7A
ENSG00000006468.13,ENSG00000006468,13,ENSG00000006468,ETV1
ENSG00000006530.15,ENSG00000006530,15,ENSG00000006530,AGK
ENSG00000006534.15,ENSG00000006534,15,ENSG00000006534,ALDH3B1
ENSG00000006555.10,ENSG00000006555,10,ENSG00000006555,TTC22
ENSG00000006576.16,ENSG00000006576,16,ENSG00000006576,PHTF2
ENSG00000006606.8,ENSG00000006606,8,ENSG00000006606,CCL26
ENSG00000006607.13,ENSG00000006607,13,ENSG00000006607,FARP2
ENSG00000006611.15,ENSG00000006611,15,ENSG00000006611,USH1C
ENSG00000006625.17,ENSG00000006625,17,ENSG00000006625,GGCT
ENSG00000006634.7,ENSG00000006634,7,ENSG00000006634,DBF4
ENSG00000006638.11,ENSG00000006638,11,ENSG00000006638,TBXA2R
ENSG00000006652.13,ENSG00000006652,13,ENSG00000006652,IFRD1
ENSG00000006695.10,ENSG00000006695,10,ENSG00000006695,COX10
ENSG00000006704.10,ENSG00000006704,10,ENSG00000006704,GTF2IRD1
ENSG00000006712.14,ENSG00000006712,14,ENSG00000006712,PAF1
ENSG00000006715.15,ENSG00000006715,15,ENSG00000006715,VPS41
ENSG00000006740.16,ENSG00000006740,16,ENSG00000006740,ARHGAP44
ENSG00000006744.18,ENSG00000006744,18,ENSG00000006744,ELAC2
ENSG00000006747.14,ENSG00000006747,14,ENSG00000006747,SCIN
ENSG00000006756.15,ENSG00000006756,15,ENSG00000006756,ARSD
ENSG00000006757.11,ENSG00000006757,11,ENSG00000006757,PNPLA4
ENSG00000006831.9,ENSG00000006831,9,ENSG00000006831,ADIPOR2
ENSG00000006837.11,ENSG00000006837,11,ENSG00000006837,CDKL3
ENSG00000007038.10,ENSG00000007038,10,ENSG00000007038,PRSS21
ENSG00000007047.14,ENSG00000007047,14,ENSG00000007047,MARK4
ENSG00000007062.11,ENSG00000007062,11,ENSG00000007062,PROM1
ENSG00000007080.10,ENSG00000007080,10,ENSG00000007080,CCDC124
ENSG00000007168.12,ENSG00000007168,12,ENSG00000007168,PAFAH1B1
ENSG00000007171.17,ENSG00000007171,17,ENSG00000007171,NOS2
ENSG00000007202.14,ENSG00000007202,14,ENSG00000007202,KIAA0100
ENSG00000007216.14,ENSG00000007216,14,ENSG00000007216,SLC13A2
ENSG00000007237.18,ENSG00000007237,18,ENSG00000007237,GAS7
ENSG00000007255.10,ENSG00000007255,10,ENSG00000007255,TRAPPC6A
ENSG00000007264.14,ENSG00000007264,14,ENSG00000007264,MATK
ENSG00000007306.14,ENSG00000007306,14,ENSG00000007306,CEACAM7
ENSG00000007312.12,ENSG00000007312,12,ENSG00000007312,CD79B
ENSG00000007314.12,ENSG00000007314,12,ENSG00000007314,SCN4A
ENSG00000007341.18,ENSG00000007341,18,ENSG00000007341,ST7L
ENSG00000007350.16,ENSG00000007350,16,ENSG00000007350,TKTL1
ENSG00000007372.22,ENSG00000007372,22,ENSG00000007372,PAX6
ENSG00000007376.7,ENSG00000007376,7,ENSG00000007376,RPUSD1
ENSG00000007384.15,ENSG00000007384,15,ENSG00000007384,RHBDF1
ENSG00000007392.16,ENSG00000007392,16,ENSG00000007392,LUC7L
ENSG00000007402.11,ENSG00000007402,11,ENSG00000007402,CACNA2D2
ENSG00000007516.13,ENSG00000007516,13,ENSG00000007516,BAIAP3
ENSG00000007520.3,ENSG00000007520,3,ENSG00000007520,TSR3
ENSG00000007541.16,ENSG00000007541,16,ENSG00000007541,PIGQ
ENSG00000007545.15,ENSG00000007545,15,ENSG00000007545,CRAMP1
ENSG00000007866.19,ENSG00000007866,19,ENSG00000007866,TEAD3
ENSG00000007923.15,ENSG00000007923,15,ENSG00000007923,DNAJC11
ENSG00000007944.14,ENSG00000007944,14,ENSG00000007944,MYLIP
ENSG00000007952.17,ENSG00000007952,17,ENSG00000007952,NOX1
ENSG00000007968.6,ENSG00000007968,6,ENSG00000007968,E2F2
ENSG00000008018.8,ENSG00000008018,8,ENSG00000008018,PSMB1
ENSG00000008056.13,ENSG00000008056,13,ENSG00000008056,SYN1
